"workerid","domain","condition","item","lowers","uppers","responses"
"238","price","prior","coffee maker",104,108,0.27
"238","price","prior","coffee maker",108,112,0.27
"238","price","prior","coffee maker",112,116,0.25
"238","price","prior","coffee maker",116,120,0.22
"238","price","prior","coffee maker",120,124,0
"238","price","prior","coffee maker",124,128,0
"238","price","prior","coffee maker",128,132,0
"238","price","prior","coffee maker",132,136,0
"238","price","prior","coffee maker",136,140,0
"238","price","prior","coffee maker",140,144,0
"238","price","prior","coffee maker",144,148,0
"238","price","prior","coffee maker",148,152,0
"238","price","prior","coffee maker",152,156,0
"238","price","prior","coffee maker",156,160,0
"238","price","prior","coffee maker",160,164,0
"238","price","prior","coffee maker",164,168,0
"238","price","prior","coffee maker",168,172,0
"238","price","prior","coffee maker",172,176,0
"238","price","prior","coffee maker",176,180,0
"238","price","prior","coffee maker",180,184,0
"238","price","prior","coffee maker",184,188,0
"238","price","prior","coffee maker",188,192,0
"238","price","prior","coffee maker",192,196,0
"238","price","prior","coffee maker",196,200,0
"238","price","prior","coffee maker",200,204,0.02
"238","price","prior","coffee maker",204,208,0
"238","price","prior","coffee maker",208,212,0
"238","price","prior","coffee maker",212,216,0
"238","price","prior","coffee maker",216,220,0
"238","price","prior","coffee maker",220,224,0
"238","price","prior","coffee maker",224,228,0
"238","price","prior","coffee maker",228,232,0
"238","price","prior","coffee maker",232,236,0
"238","price","prior","coffee maker",236,240,0
"238","price","prior","coffee maker",240,244,0
"238","price","prior","coffee maker",244,248,0
"238","price","prior","coffee maker",248,252,0
"238","price","prior","coffee maker",252,256,0
"238","price","prior","coffee maker",256,260,0
"238","price","prior","coffee maker",260,264,0
"238","price","prior","coffee maker",264,268,0
"238","price","prior","coffee maker",268,NA,0
"239","price","prior","laptop",0,50,0.01
"239","price","prior","laptop",50,100,0.01
"239","price","prior","laptop",100,150,0.01
"239","price","prior","laptop",150,200,0.02
"239","price","prior","laptop",200,250,0.01
"239","price","prior","laptop",250,300,0.08
"239","price","prior","laptop",300,350,0.18
"239","price","prior","laptop",350,400,0.29
"239","price","prior","laptop",400,450,0.38
"239","price","prior","laptop",450,500,0.5
"239","price","prior","laptop",500,550,0.5
"239","price","prior","laptop",550,600,0.4
"239","price","prior","laptop",600,650,0.3
"239","price","prior","laptop",650,700,0.24
"239","price","prior","laptop",700,750,0.19
"239","price","prior","laptop",750,800,0.15
"239","price","prior","laptop",800,850,0.1
"239","price","prior","laptop",850,900,0.03
"239","price","prior","laptop",900,950,0.04
"239","price","prior","laptop",950,1000,0.03
"239","price","prior","laptop",1000,1050,0.03
"239","price","prior","laptop",1050,1100,0.01
"239","price","prior","laptop",1100,1150,0.03
"239","price","prior","laptop",1150,1200,0.03
"239","price","prior","laptop",1200,1250,0.03
"239","price","prior","laptop",1250,1300,0.03
"239","price","prior","laptop",1300,1350,0.02
"239","price","prior","laptop",1350,1400,0.02
"239","price","prior","laptop",1400,1450,0.02
"239","price","prior","laptop",1450,1500,0.02
"239","price","prior","laptop",1500,1550,0.01
"239","price","prior","laptop",1550,1600,0.01
"239","price","prior","laptop",1600,1650,0.01
"239","price","prior","laptop",1650,1700,0.02
"239","price","prior","laptop",1700,1750,0.02
"239","price","prior","laptop",1750,1800,0.01
"239","price","prior","laptop",1800,1850,0.02
"239","price","prior","laptop",1850,1900,0.01
"239","price","prior","laptop",1900,1950,0.03
"239","price","prior","laptop",1950,2000,0.02
"239","price","prior","laptop",2000,2050,0.01
"239","price","prior","laptop",2050,2100,0.01
"239","price","prior","laptop",2100,2150,0.02
"239","price","prior","laptop",2150,2200,0.03
"239","price","prior","laptop",2200,2250,0.04
"239","price","prior","laptop",2250,2300,0.03
"239","price","prior","laptop",2300,2350,0.02
"239","price","prior","laptop",2350,2400,0.02
"239","price","prior","laptop",2400,2450,0.02
"239","price","prior","laptop",2450,NA,0.03
"240","height","prior","building",0,10,0.25
"240","height","prior","building",10,20,0.88
"240","height","prior","building",20,30,0.88
"240","height","prior","building",30,40,0.87
"240","height","prior","building",40,50,0.75
"240","height","prior","building",50,60,0.73
"240","height","prior","building",60,70,0.7
"240","height","prior","building",70,80,0.69
"240","height","prior","building",80,90,0.65
"240","height","prior","building",90,100,0.63
"240","height","prior","building",100,110,0.74
"240","height","prior","building",110,120,0.77
"240","height","prior","building",120,130,0.76
"240","height","prior","building",130,140,0.72
"240","height","prior","building",140,150,0.72
"240","height","prior","building",150,160,0.64
"240","height","prior","building",160,170,0.56
"240","height","prior","building",170,180,0.53
"240","height","prior","building",180,190,0.53
"240","height","prior","building",190,NA,0.53
"241","height","posterior","mountain",0,1000,0.94
"241","height","posterior","mountain",1000,2000,0.84
"241","height","posterior","mountain",2000,3000,0.8
"241","height","posterior","mountain",3000,4000,0.79
"241","height","posterior","mountain",4000,5000,0.76
"241","height","posterior","mountain",5000,6000,0.74
"241","height","posterior","mountain",6000,7000,0.58
"241","height","posterior","mountain",7000,8000,0.51
"241","height","posterior","mountain",8000,9000,0.38
"241","height","posterior","mountain",9000,10000,0.34
"241","height","posterior","mountain",10000,11000,0.58
"241","height","posterior","mountain",11000,12000,0.59
"241","height","posterior","mountain",12000,13000,0.5
"241","height","posterior","mountain",13000,14000,0.5
"241","height","posterior","mountain",14000,15000,0.35
"241","height","posterior","mountain",15000,16000,0.27
"241","height","posterior","mountain",16000,17000,0.22
"241","height","posterior","mountain",17000,18000,0.19
"241","height","posterior","mountain",18000,19000,0.26
"241","height","posterior","mountain",19000,NA,0.01
"242","price","posterior","coffee maker",0,4,0
"242","price","posterior","coffee maker",4,8,0
"242","price","posterior","coffee maker",8,12,0
"242","price","posterior","coffee maker",12,16,0
"242","price","posterior","coffee maker",16,20,0
"242","price","posterior","coffee maker",20,24,0
"242","price","posterior","coffee maker",24,28,0
"242","price","posterior","coffee maker",28,32,0.24
"242","price","posterior","coffee maker",32,36,0.29
"242","price","posterior","coffee maker",36,40,0.57
"242","price","posterior","coffee maker",40,44,0.48
"242","price","posterior","coffee maker",44,48,0.47
"242","price","posterior","coffee maker",48,52,0.47
"242","price","posterior","coffee maker",52,56,0.47
"242","price","posterior","coffee maker",56,60,0.48
"242","price","posterior","coffee maker",60,64,0.48
"242","price","posterior","coffee maker",64,68,0.5
"242","price","posterior","coffee maker",68,72,0.5
"242","price","posterior","coffee maker",72,76,0.5
"242","price","posterior","coffee maker",76,80,0.5
"242","price","posterior","coffee maker",80,84,0.53
"242","price","posterior","coffee maker",84,88,0.53
"242","price","posterior","coffee maker",88,92,0.54
"242","price","posterior","coffee maker",92,96,0.54
"242","price","posterior","coffee maker",96,100,0.57
"242","price","posterior","coffee maker",100,104,0.55
"242","price","posterior","coffee maker",104,108,0.54
"242","price","posterior","coffee maker",108,112,0.55
"242","price","posterior","coffee maker",112,116,0.55
"242","price","posterior","coffee maker",116,120,0.56
"242","price","posterior","coffee maker",120,124,0.56
"242","price","posterior","coffee maker",124,128,0.56
"242","price","posterior","coffee maker",128,132,0.55
"242","price","posterior","coffee maker",132,136,0.56
"242","price","posterior","coffee maker",136,140,0.54
"242","price","posterior","coffee maker",140,144,0.59
"242","price","posterior","coffee maker",144,148,0.58
"242","price","posterior","coffee maker",148,152,0.6
"242","price","posterior","coffee maker",152,156,0.59
"242","price","posterior","coffee maker",156,160,0.67
"242","price","posterior","coffee maker",160,164,0.61
"242","price","posterior","coffee maker",164,168,0.64
"242","price","posterior","coffee maker",168,172,0.61
"242","price","posterior","coffee maker",172,176,0.6
"242","price","posterior","coffee maker",176,180,0.56
"242","price","posterior","coffee maker",180,184,0.61
"242","price","posterior","coffee maker",184,188,0.6
"242","price","posterior","coffee maker",188,192,0.59
"242","price","posterior","coffee maker",192,196,0.78
"242","price","posterior","coffee maker",196,200,0.82
"242","price","posterior","coffee maker",200,204,0.64
"242","price","posterior","coffee maker",204,208,0.55
"242","price","posterior","coffee maker",208,212,0.5
"242","price","posterior","coffee maker",212,216,0.46
"242","price","posterior","coffee maker",216,220,0.42
"242","price","posterior","coffee maker",220,224,0.23
"242","price","posterior","coffee maker",224,228,0.23
"242","price","posterior","coffee maker",228,232,0.24
"242","price","posterior","coffee maker",232,236,0.19
"242","price","posterior","coffee maker",236,240,0.1
"242","price","posterior","coffee maker",240,244,0.12
"242","price","posterior","coffee maker",244,248,0.11
"242","price","posterior","coffee maker",248,252,0.1
"242","price","posterior","coffee maker",252,256,0.08
"242","price","posterior","coffee maker",256,260,0.08
"242","price","posterior","coffee maker",260,264,0.05
"242","price","posterior","coffee maker",264,268,0.01
"242","price","posterior","coffee maker",268,NA,0
"243","price","prior","watch",0,50,0.43
"243","price","prior","watch",50,100,0.7
"243","price","prior","watch",100,150,0.7
"243","price","prior","watch",150,200,0.64
"243","price","prior","watch",200,250,0.55
"243","price","prior","watch",250,300,0.49
"243","price","prior","watch",300,350,0.37
"243","price","prior","watch",350,400,0.26
"243","price","prior","watch",400,450,0.17
"243","price","prior","watch",450,500,0.12
"243","price","prior","watch",500,550,0.17
"243","price","prior","watch",550,600,0.13
"243","price","prior","watch",600,650,0.16
"243","price","prior","watch",650,700,0.15
"243","price","prior","watch",700,750,0.15
"243","price","prior","watch",750,800,0.15
"243","price","prior","watch",800,850,0.14
"243","price","prior","watch",850,900,0.13
"243","price","prior","watch",900,950,0.13
"243","price","prior","watch",950,1000,0.11
"243","price","prior","watch",1000,1050,0.05
"243","price","prior","watch",1050,1100,0.07
"243","price","prior","watch",1100,1150,0.08
"243","price","prior","watch",1150,1200,0.07
"243","price","prior","watch",1200,1250,0.11
"243","price","prior","watch",1250,1300,0.08
"243","price","prior","watch",1300,1350,0.08
"243","price","prior","watch",1350,1400,0.09
"243","price","prior","watch",1400,1450,0.09
"243","price","prior","watch",1450,1500,0.07
"243","price","prior","watch",1500,1550,0.09
"243","price","prior","watch",1550,1600,0.08
"243","price","prior","watch",1600,1650,0.08
"243","price","prior","watch",1650,1700,0.1
"243","price","prior","watch",1700,1750,0.1
"243","price","prior","watch",1750,1800,0.09
"243","price","prior","watch",1800,1850,0.08
"243","price","prior","watch",1850,1900,0.11
"243","price","prior","watch",1900,1950,0.09
"243","price","prior","watch",1950,2000,0.09
"243","price","prior","watch",2000,2050,0.06
"243","price","prior","watch",2050,2100,0.08
"243","price","prior","watch",2100,2150,0.07
"243","price","prior","watch",2150,2200,0.07
"243","price","prior","watch",2200,2250,0.07
"243","price","prior","watch",2250,2300,0.07
"243","price","prior","watch",2300,2350,0.1
"243","price","prior","watch",2350,2400,0.07
"243","price","prior","watch",2400,2450,0.09
"243","price","prior","watch",2450,2500,0.09
"243","price","prior","watch",2500,2550,0.07
"243","price","prior","watch",2550,2600,0.09
"243","price","prior","watch",2600,2650,0.06
"243","price","prior","watch",2650,2700,0.09
"243","price","prior","watch",2700,2750,0.07
"243","price","prior","watch",2750,2800,0.08
"243","price","prior","watch",2800,2850,0.09
"243","price","prior","watch",2850,2900,0.09
"243","price","prior","watch",2900,2950,0.09
"243","price","prior","watch",2950,NA,0.07
"244","price","posterior","laptop",0,50,0
"244","price","posterior","laptop",50,100,0
"244","price","posterior","laptop",100,150,0
"244","price","posterior","laptop",150,200,0
"244","price","posterior","laptop",200,250,0
"244","price","posterior","laptop",250,300,0
"244","price","posterior","laptop",300,350,0
"244","price","posterior","laptop",350,400,0
"244","price","posterior","laptop",400,450,0
"244","price","posterior","laptop",450,500,0.24
"244","price","posterior","laptop",500,550,0.24
"244","price","posterior","laptop",550,600,0.3
"244","price","posterior","laptop",600,650,0.35
"244","price","posterior","laptop",650,700,0.42
"244","price","posterior","laptop",700,750,0.47
"244","price","posterior","laptop",750,800,0.48
"244","price","posterior","laptop",800,850,0.5
"244","price","posterior","laptop",850,900,0.54
"244","price","posterior","laptop",900,950,0.57
"244","price","posterior","laptop",950,1000,0.61
"244","price","posterior","laptop",1000,1050,0.57
"244","price","posterior","laptop",1050,1100,0.6
"244","price","posterior","laptop",1100,1150,0.63
"244","price","posterior","laptop",1150,1200,0.66
"244","price","posterior","laptop",1200,1250,0.66
"244","price","posterior","laptop",1250,1300,0.67
"244","price","posterior","laptop",1300,1350,0.68
"244","price","posterior","laptop",1350,1400,0.69
"244","price","posterior","laptop",1400,1450,0.7
"244","price","posterior","laptop",1450,1500,0.71
"244","price","posterior","laptop",1500,1550,0.73
"244","price","posterior","laptop",1550,1600,0.73
"244","price","posterior","laptop",1600,1650,0.74
"244","price","posterior","laptop",1650,1700,0.75
"244","price","posterior","laptop",1700,1750,0.75
"244","price","posterior","laptop",1750,1800,0.74
"244","price","posterior","laptop",1800,1850,0.74
"244","price","posterior","laptop",1850,1900,0.73
"244","price","posterior","laptop",1900,1950,0.74
"244","price","posterior","laptop",1950,2000,0.72
"244","price","posterior","laptop",2000,2050,0.5
"244","price","posterior","laptop",2050,2100,0.5
"244","price","posterior","laptop",2100,2150,0.5
"244","price","posterior","laptop",2150,2200,0.5
"244","price","posterior","laptop",2200,2250,0.5
"244","price","posterior","laptop",2250,2300,0.5
"244","price","posterior","laptop",2300,2350,0.5
"244","price","posterior","laptop",2350,2400,0.5
"244","price","posterior","laptop",2400,2450,0.5
"244","price","posterior","laptop",2450,NA,0.4
"245","height","prior","mountain",0,1000,0.25
"245","height","prior","mountain",1000,2000,0.5
"245","height","prior","mountain",2000,3000,0.5
"245","height","prior","mountain",3000,4000,0.5
"245","height","prior","mountain",4000,5000,0.73
"245","height","prior","mountain",5000,6000,0.74
"245","height","prior","mountain",6000,7000,1
"245","height","prior","mountain",7000,8000,0.72
"245","height","prior","mountain",8000,9000,0.73
"245","height","prior","mountain",9000,10000,0.5
"245","height","prior","mountain",10000,11000,0.5
"245","height","prior","mountain",11000,12000,0.5
"245","height","prior","mountain",12000,13000,0.5
"245","height","prior","mountain",13000,14000,0.5
"245","height","prior","mountain",14000,15000,0.42
"245","height","prior","mountain",15000,16000,0.23
"245","height","prior","mountain",16000,17000,0.23
"245","height","prior","mountain",17000,18000,0.24
"245","height","prior","mountain",18000,19000,0.19
"245","height","prior","mountain",19000,NA,0.13
"246","price","prior","laptop",0,50,0
"246","price","prior","laptop",50,100,0
"246","price","prior","laptop",100,150,0
"246","price","prior","laptop",150,200,0
"246","price","prior","laptop",200,250,0
"246","price","prior","laptop",250,300,0
"246","price","prior","laptop",300,350,0
"246","price","prior","laptop",350,400,0
"246","price","prior","laptop",400,450,0.25
"246","price","prior","laptop",450,500,0.26
"246","price","prior","laptop",500,550,0.26
"246","price","prior","laptop",550,600,0.37
"246","price","prior","laptop",600,650,0.38
"246","price","prior","laptop",650,700,0.44
"246","price","prior","laptop",700,750,0.44
"246","price","prior","laptop",750,800,0.52
"246","price","prior","laptop",800,850,0.53
"246","price","prior","laptop",850,900,0.6
"246","price","prior","laptop",900,950,0.6
"246","price","prior","laptop",950,1000,0.79
"246","price","prior","laptop",1000,1050,0.77
"246","price","prior","laptop",1050,1100,0.76
"246","price","prior","laptop",1100,1150,0.76
"246","price","prior","laptop",1150,1200,0.77
"246","price","prior","laptop",1200,1250,0.55
"246","price","prior","laptop",1250,1300,0.47
"246","price","prior","laptop",1300,1350,0.4
"246","price","prior","laptop",1350,1400,0.33
"246","price","prior","laptop",1400,1450,0.27
"246","price","prior","laptop",1450,1500,0.19
"246","price","prior","laptop",1500,1550,0.26
"246","price","prior","laptop",1550,1600,0.27
"246","price","prior","laptop",1600,1650,0.22
"246","price","prior","laptop",1650,1700,0.22
"246","price","prior","laptop",1700,1750,0.2
"246","price","prior","laptop",1750,1800,0.2
"246","price","prior","laptop",1800,1850,0.18
"246","price","prior","laptop",1850,1900,0.13
"246","price","prior","laptop",1900,1950,0.1
"246","price","prior","laptop",1950,2000,0.07
"246","price","prior","laptop",2000,2050,0
"246","price","prior","laptop",2050,2100,0
"246","price","prior","laptop",2100,2150,0
"246","price","prior","laptop",2150,2200,0
"246","price","prior","laptop",2200,2250,0
"246","price","prior","laptop",2250,2300,0
"246","price","prior","laptop",2300,2350,0
"246","price","prior","laptop",2350,2400,0
"246","price","prior","laptop",2400,2450,0
"246","price","prior","laptop",2450,NA,0
"247","price","posterior","coffee maker",0,4,0
"247","price","posterior","coffee maker",4,8,0
"247","price","posterior","coffee maker",8,12,0
"247","price","posterior","coffee maker",12,16,0
"247","price","posterior","coffee maker",16,20,0
"247","price","posterior","coffee maker",20,24,0.21
"247","price","posterior","coffee maker",24,28,0.26
"247","price","posterior","coffee maker",28,32,0.37
"247","price","posterior","coffee maker",32,36,0.5
"247","price","posterior","coffee maker",36,40,0.64
"247","price","posterior","coffee maker",40,44,0.57
"247","price","posterior","coffee maker",44,48,0.61
"247","price","posterior","coffee maker",48,52,0.65
"247","price","posterior","coffee maker",52,56,0.75
"247","price","posterior","coffee maker",56,60,0.79
"247","price","posterior","coffee maker",60,64,0.84
"247","price","posterior","coffee maker",64,68,0.91
"247","price","posterior","coffee maker",68,72,1
"247","price","posterior","coffee maker",72,76,0.98
"247","price","posterior","coffee maker",76,80,1
"247","price","posterior","coffee maker",80,84,1
"247","price","posterior","coffee maker",84,88,1
"247","price","posterior","coffee maker",88,92,0.99
"247","price","posterior","coffee maker",92,96,0.98
"247","price","posterior","coffee maker",96,100,0.99
"247","price","posterior","coffee maker",100,104,0.99
"247","price","posterior","coffee maker",104,108,0.99
"247","price","posterior","coffee maker",108,112,0.98
"247","price","posterior","coffee maker",112,116,0.99
"247","price","posterior","coffee maker",116,120,0.97
"247","price","posterior","coffee maker",120,124,0.99
"247","price","posterior","coffee maker",124,128,0.99
"247","price","posterior","coffee maker",128,132,0.99
"247","price","posterior","coffee maker",132,136,0.98
"247","price","posterior","coffee maker",136,140,0.99
"247","price","posterior","coffee maker",140,144,0.97
"247","price","posterior","coffee maker",144,148,0.98
"247","price","posterior","coffee maker",148,152,0.97
"247","price","posterior","coffee maker",152,156,0.97
"247","price","posterior","coffee maker",156,160,0.97
"247","price","posterior","coffee maker",160,164,0.94
"247","price","posterior","coffee maker",164,168,0.89
"247","price","posterior","coffee maker",168,172,0.84
"247","price","posterior","coffee maker",172,176,0.81
"247","price","posterior","coffee maker",176,180,0.78
"247","price","posterior","coffee maker",180,184,0.75
"247","price","posterior","coffee maker",184,188,0.72
"247","price","posterior","coffee maker",188,192,0.71
"247","price","posterior","coffee maker",192,196,0.68
"247","price","posterior","coffee maker",196,200,0.67
"247","price","posterior","coffee maker",200,204,0.82
"247","price","posterior","coffee maker",204,208,0.78
"247","price","posterior","coffee maker",208,212,0.75
"247","price","posterior","coffee maker",212,216,0.73
"247","price","posterior","coffee maker",216,220,0.71
"247","price","posterior","coffee maker",220,224,0.66
"247","price","posterior","coffee maker",224,228,0.64
"247","price","posterior","coffee maker",228,232,0.59
"247","price","posterior","coffee maker",232,236,0.57
"247","price","posterior","coffee maker",236,240,0.5
"247","price","posterior","coffee maker",240,244,0.5
"247","price","posterior","coffee maker",244,248,0.43
"247","price","posterior","coffee maker",248,252,0.43
"247","price","posterior","coffee maker",252,256,0.42
"247","price","posterior","coffee maker",256,260,0.38
"247","price","posterior","coffee maker",260,264,0.34
"247","price","posterior","coffee maker",264,268,0.28
"247","price","posterior","coffee maker",268,NA,0.25
"248","height","posterior","tree",0,5,0.89
"248","height","posterior","tree",5,10,0.82
"248","height","posterior","tree",10,15,0.77
"248","height","posterior","tree",15,20,0.72
"248","height","posterior","tree",20,25,0.91
"248","height","posterior","tree",25,30,0.75
"248","height","posterior","tree",30,35,0.69
"248","height","posterior","tree",35,40,0.75
"248","height","posterior","tree",40,45,0.8
"248","height","posterior","tree",45,50,0.83
"248","height","posterior","tree",50,55,0.24
"248","height","posterior","tree",55,60,0.76
"248","height","posterior","tree",60,65,0.28
"248","height","posterior","tree",65,70,0.78
"248","height","posterior","tree",70,75,0.82
"248","height","posterior","tree",75,80,0.84
"248","height","posterior","tree",80,85,0.77
"248","height","posterior","tree",85,90,0.86
"248","height","posterior","tree",90,95,0.25
"248","height","posterior","tree",95,NA,0.14
"249","price","prior","coffee maker",0,4,0
"249","price","prior","coffee maker",4,8,0
"249","price","prior","coffee maker",8,12,0
"249","price","prior","coffee maker",12,16,0.17
"249","price","prior","coffee maker",16,20,0.39
"249","price","prior","coffee maker",20,24,0.72
"249","price","prior","coffee maker",24,28,0.88
"249","price","prior","coffee maker",28,32,0.74
"249","price","prior","coffee maker",32,36,0.7
"249","price","prior","coffee maker",36,40,0.7
"249","price","prior","coffee maker",40,44,0.71
"249","price","prior","coffee maker",44,48,0.66
"249","price","prior","coffee maker",48,52,0.68
"249","price","prior","coffee maker",52,56,0.66
"249","price","prior","coffee maker",56,60,0.69
"249","price","prior","coffee maker",60,64,0.68
"249","price","prior","coffee maker",64,68,0.68
"249","price","prior","coffee maker",68,72,0.26
"249","price","prior","coffee maker",72,76,0.28
"249","price","prior","coffee maker",76,80,0.25
"249","price","prior","coffee maker",80,84,0.73
"249","price","prior","coffee maker",84,88,0.68
"249","price","prior","coffee maker",88,92,0.66
"249","price","prior","coffee maker",92,96,0.68
"249","price","prior","coffee maker",96,100,0.27
"249","price","prior","coffee maker",100,104,0.26
"249","price","prior","coffee maker",104,108,0.25
"249","price","prior","coffee maker",108,112,0
"249","price","prior","coffee maker",112,116,0
"249","price","prior","coffee maker",116,120,0
"249","price","prior","coffee maker",120,124,0.71
"249","price","prior","coffee maker",124,128,0.5
"249","price","prior","coffee maker",128,132,0.5
"249","price","prior","coffee maker",132,136,0.5
"249","price","prior","coffee maker",136,140,0.32
"249","price","prior","coffee maker",140,144,0.34
"249","price","prior","coffee maker",144,148,0.33
"249","price","prior","coffee maker",148,152,0.29
"249","price","prior","coffee maker",152,156,0
"249","price","prior","coffee maker",156,160,0
"249","price","prior","coffee maker",160,164,0.74
"249","price","prior","coffee maker",164,168,0.73
"249","price","prior","coffee maker",168,172,0.5
"249","price","prior","coffee maker",172,176,0.29
"249","price","prior","coffee maker",176,180,0.27
"249","price","prior","coffee maker",180,184,0.28
"249","price","prior","coffee maker",184,188,0.3
"249","price","prior","coffee maker",188,192,0
"249","price","prior","coffee maker",192,196,0.04
"249","price","prior","coffee maker",196,200,0
"249","price","prior","coffee maker",200,204,0.73
"249","price","prior","coffee maker",204,208,0.5
"249","price","prior","coffee maker",208,212,0.5
"249","price","prior","coffee maker",212,216,0.5
"249","price","prior","coffee maker",216,220,0.5
"249","price","prior","coffee maker",220,224,0.27
"249","price","prior","coffee maker",224,228,0.26
"249","price","prior","coffee maker",228,232,0.26
"249","price","prior","coffee maker",232,236,0.24
"249","price","prior","coffee maker",236,240,0.26
"249","price","prior","coffee maker",240,244,0.5
"249","price","prior","coffee maker",244,248,0.23
"249","price","prior","coffee maker",248,252,0.27
"249","price","prior","coffee maker",252,256,0.29
"249","price","prior","coffee maker",256,260,0.28
"249","price","prior","coffee maker",260,264,0
"249","price","prior","coffee maker",264,268,0
"249","price","prior","coffee maker",268,NA,0.01
"250","height","posterior","building",0,10,0
"250","height","posterior","building",10,20,0
"250","height","posterior","building",20,30,0
"250","height","posterior","building",30,40,0
"250","height","posterior","building",40,50,0
"250","height","posterior","building",50,60,0
"250","height","posterior","building",60,70,0
"250","height","posterior","building",70,80,0.5
"250","height","posterior","building",80,90,0.69
"250","height","posterior","building",90,100,1
"250","height","posterior","building",100,110,0.5
"250","height","posterior","building",110,120,0.5
"250","height","posterior","building",120,130,0.5
"250","height","posterior","building",130,140,0.5
"250","height","posterior","building",140,150,0.5
"250","height","posterior","building",150,160,0.5
"250","height","posterior","building",160,170,0.5
"250","height","posterior","building",170,180,0.5
"250","height","posterior","building",180,190,0.51
"250","height","posterior","building",190,NA,0.49
"251","height","prior","tree",0,5,0.96
"251","height","prior","tree",5,10,0.66
"251","height","prior","tree",10,15,0.65
"251","height","prior","tree",15,20,0.6
"251","height","prior","tree",20,25,0.59
"251","height","prior","tree",25,30,0.56
"251","height","prior","tree",30,35,0.52
"251","height","prior","tree",35,40,0.48
"251","height","prior","tree",40,45,0.47
"251","height","prior","tree",45,50,0.42
"251","height","prior","tree",50,55,0.45
"251","height","prior","tree",55,60,0.4
"251","height","prior","tree",60,65,0.37
"251","height","prior","tree",65,70,0.35
"251","height","prior","tree",70,75,0.31
"251","height","prior","tree",75,80,0.26
"251","height","prior","tree",80,85,0.25
"251","height","prior","tree",85,90,0.23
"251","height","prior","tree",90,95,0.19
"251","height","prior","tree",95,NA,0.11
"252","height","posterior","building",0,10,0.1
"252","height","posterior","building",10,20,0.08
"252","height","posterior","building",20,30,0.1
"252","height","posterior","building",30,40,0.59
"252","height","posterior","building",40,50,0.84
"252","height","posterior","building",50,60,0.83
"252","height","posterior","building",60,70,0.83
"252","height","posterior","building",70,80,1
"252","height","posterior","building",80,90,1
"252","height","posterior","building",90,100,1
"252","height","posterior","building",100,110,1
"252","height","posterior","building",110,120,0.95
"252","height","posterior","building",120,130,0.96
"252","height","posterior","building",130,140,0.97
"252","height","posterior","building",140,150,0.98
"252","height","posterior","building",150,160,0.97
"252","height","posterior","building",160,170,1
"252","height","posterior","building",170,180,0.99
"252","height","posterior","building",180,190,0.97
"252","height","posterior","building",190,NA,0.98
"253","price","posterior","laptop",0,50,0.02
"253","price","posterior","laptop",50,100,0.04
"253","price","posterior","laptop",100,150,0.03
"253","price","posterior","laptop",150,200,0.02
"253","price","posterior","laptop",200,250,0.01
"253","price","posterior","laptop",250,300,0.01
"253","price","posterior","laptop",300,350,0.05
"253","price","posterior","laptop",350,400,0.05
"253","price","posterior","laptop",400,450,0.18
"253","price","posterior","laptop",450,500,0.23
"253","price","posterior","laptop",500,550,0.14
"253","price","posterior","laptop",550,600,0.22
"253","price","posterior","laptop",600,650,0.22
"253","price","posterior","laptop",650,700,0.22
"253","price","posterior","laptop",700,750,0.24
"253","price","posterior","laptop",750,800,0.33
"253","price","posterior","laptop",800,850,0.36
"253","price","posterior","laptop",850,900,0.4
"253","price","posterior","laptop",900,950,0.4
"253","price","posterior","laptop",950,1000,0.5
"253","price","posterior","laptop",1000,1050,0.5
"253","price","posterior","laptop",1050,1100,0.58
"253","price","posterior","laptop",1100,1150,0.5
"253","price","posterior","laptop",1150,1200,0.5
"253","price","posterior","laptop",1200,1250,0.57
"253","price","posterior","laptop",1250,1300,0.61
"253","price","posterior","laptop",1300,1350,0.66
"253","price","posterior","laptop",1350,1400,0.68
"253","price","posterior","laptop",1400,1450,0.69
"253","price","posterior","laptop",1450,1500,0.72
"253","price","posterior","laptop",1500,1550,0.78
"253","price","posterior","laptop",1550,1600,0.71
"253","price","posterior","laptop",1600,1650,0.77
"253","price","posterior","laptop",1650,1700,0.78
"253","price","posterior","laptop",1700,1750,0.79
"253","price","posterior","laptop",1750,1800,0.84
"253","price","posterior","laptop",1800,1850,0.84
"253","price","posterior","laptop",1850,1900,0.77
"253","price","posterior","laptop",1900,1950,0.8
"253","price","posterior","laptop",1950,2000,0.82
"253","price","posterior","laptop",2000,2050,0.69
"253","price","posterior","laptop",2050,2100,0.06
"253","price","posterior","laptop",2100,2150,0.04
"253","price","posterior","laptop",2150,2200,0.01
"253","price","posterior","laptop",2200,2250,0.03
"253","price","posterior","laptop",2250,2300,0.01
"253","price","posterior","laptop",2300,2350,0.03
"253","price","posterior","laptop",2350,2400,0.07
"253","price","posterior","laptop",2400,2450,0.05
"253","price","posterior","laptop",2450,NA,0.03
"254","height","prior","tree",0,5,0.27
"254","height","prior","tree",5,10,0.49
"254","height","prior","tree",10,15,0.55
"254","height","prior","tree",15,20,0.57
"254","height","prior","tree",20,25,0.66
"254","height","prior","tree",25,30,0.88
"254","height","prior","tree",30,35,0.88
"254","height","prior","tree",35,40,0.89
"254","height","prior","tree",40,45,0.78
"254","height","prior","tree",45,50,0.69
"254","height","prior","tree",50,55,0.84
"254","height","prior","tree",55,60,0.64
"254","height","prior","tree",60,65,0.48
"254","height","prior","tree",65,70,0.41
