"workerid","reward","comments","age","language","qNumber","qtype","dollar_amount","sigs","object","response","rt","level","id","date","phrasing"
"23_00","$0.40","""This+was+unique.""","""43""","""English""",39,"inductive",0.31,0.01,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",0,"inductive",8,0.5,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",1,"inductive",30,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",2,"inductive",16,0.5,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",3,"inductive",15,1,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",4,"concrete",50,1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",5,"inductive",15,1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",6,"concrete",60,2,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",7,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",8,"inductive",0.31,0.01,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",9,"concrete",60,1,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",10,"concrete",600,0,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",11,"concrete",30,0,"watch",2,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",12,"concrete",80,3,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",13,"concrete",50,1,"watch",3,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",14,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",15,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",16,"inductive",20,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",17,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",18,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",19,"inductive",0.15,0.01,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",20,"inductive",11,0.5,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",21,"inductive",300,1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",22,"inductive",3,0.01,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",23,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",24,"concrete",80,2,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",25,"concrete",60,1,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",26,"concrete",60,2,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",27,"inductive",100,0.5,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",28,"inductive",3,0.1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",29,"inductive",8,0.5,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",30,"concrete",30,0,"headphones",1,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",31,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",32,"concrete",80,3,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",33,"concrete",40,0,"coffee maker",3,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",34,"concrete",90,2,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",35,"inductive",2,0.1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",36,"concrete",900,1,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",37,"inductive",2,0.1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",38,"inductive",30,0.1,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"24_00","$0.40","""None%2C+thanks.""","""72""","""English""",39,"concrete",30,0,"sweater",2,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",0,"concrete",60,2,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",1,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",2,"concrete",80,3,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",3,"inductive",2,0.1,"sweater",1,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",4,"inductive",8,0.5,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",5,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",6,"concrete",90,2,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",7,"concrete",50,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",8,"concrete",30,0,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",9,"inductive",15,1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",10,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",11,"inductive",11,0.5,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",12,"inductive",3,0.01,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",13,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",14,"concrete",50,1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",15,"inductive",15,1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",16,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",17,"inductive",8,0.5,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",18,"concrete",80,2,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",19,"inductive",30,0.1,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",20,"inductive",30,1,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",21,"concrete",60,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",22,"inductive",20,1,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",23,"concrete",40,0,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",24,"inductive",0.15,0.01,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",25,"inductive",0.31,0.01,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",26,"concrete",80,3,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",27,"concrete",30,0,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",28,"inductive",100,0.5,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",29,"concrete",60,1,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",30,"concrete",60,2,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",31,"inductive",3,0.1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",32,"inductive",16,0.5,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",33,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",34,"inductive",2,0.1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",35,"concrete",30,0,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",36,"inductive",300,1,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",37,"concrete",900,1,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",38,"concrete",100,3,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"25_00","$0.40","""A+lot+of+things+could+be+expensive+to+me+and+not+to+someone+else!""","""66""","""English""",39,"concrete",600,0,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",0,"inductive",0.31,0.01,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",1,"inductive",16,0.5,"headphones",3,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",2,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",3,"concrete",50,1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",4,"inductive",2,0.1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",5,"concrete",80,2,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",6,"inductive",8,0.5,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",7,"inductive",30,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",8,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",9,"concrete",30,0,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",10,"concrete",40,0,"coffee maker",4,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",11,"inductive",300,1,"laptop",3,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",12,"inductive",15,1,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",13,"concrete",30,0,"sweater",2,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",14,"concrete",60,2,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",15,"inductive",8,0.5,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",16,"inductive",0.15,0.01,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",17,"concrete",900,1,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",18,"inductive",15,1,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",19,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",20,"concrete",60,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",21,"concrete",50,1,"watch",4,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",22,"inductive",100,0.5,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",23,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",24,"inductive",30,0.1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",25,"concrete",100,3,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",26,"concrete",30,0,"watch",2,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",27,"concrete",60,2,"watch",3,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",28,"inductive",2,0.1,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",29,"inductive",3,0.1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",30,"inductive",2,0.1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",31,"concrete",60,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",32,"inductive",0.15,0.01,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",33,"inductive",11,0.5,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",34,"concrete",90,2,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",35,"inductive",20,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",36,"concrete",600,0,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",37,"concrete",80,3,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",38,"concrete",80,3,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"26_00","$0.40","""""","""22""","""English""",39,"inductive",3,0.01,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",0,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",1,"concrete",90,2,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",2,"inductive",3,0.1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",3,"concrete",50,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",4,"concrete",60,2,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",5,"concrete",900,1,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",6,"inductive",300,1,"laptop",3,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",7,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",8,"concrete",40,0,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",9,"concrete",50,1,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",10,"inductive",30,0.1,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",11,"inductive",100,0.5,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",12,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",13,"inductive",15,1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",14,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",15,"concrete",80,3,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",16,"inductive",30,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",17,"concrete",600,0,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",18,"inductive",2,0.1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",19,"concrete",30,0,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",20,"concrete",30,0,"watch",3,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",21,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",22,"inductive",8,0.5,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",23,"inductive",11,0.5,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",24,"inductive",0.31,0.01,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",25,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",26,"concrete",30,0,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",27,"concrete",60,1,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",28,"concrete",60,2,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",29,"concrete",80,2,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",30,"inductive",8,0.5,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",31,"inductive",0.15,0.01,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",32,"concrete",60,1,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",33,"inductive",15,1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",34,"inductive",3,0.01,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",35,"inductive",2,0.1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",36,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",37,"inductive",16,0.5,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",38,"concrete",80,3,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"27_00","$0.40","""""","""25""","""English""",39,"inductive",20,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",0,"inductive",300,1,"laptop",4,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",1,"concrete",60,1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",2,"inductive",8,0.5,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",3,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",4,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",5,"concrete",60,2,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",6,"inductive",15,1,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",7,"inductive",0.31,0.01,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",8,"concrete",40,0,"coffee maker",4,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",9,"concrete",900,1,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",10,"inductive",2,0.1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",11,"inductive",16,0.5,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",12,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",13,"concrete",50,1,"watch",3,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",14,"concrete",30,0,"watch",1,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",15,"concrete",80,3,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",16,"concrete",30,0,"sweater",2,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",17,"concrete",60,2,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",18,"inductive",8,0.5,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",19,"inductive",30,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",20,"concrete",90,2,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",21,"concrete",80,3,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",22,"inductive",20,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",23,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",24,"inductive",3,0.01,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",25,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",26,"inductive",0.15,0.01,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",27,"concrete",60,1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",28,"inductive",3,0.1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",29,"inductive",30,0.1,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",30,"inductive",2,0.1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",31,"inductive",100,0.5,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"28_00","$0.40","""""","""33""","""English""",32,"concrete",50,1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
